mu_b,block_mean_density,block_std_density,calculated_excess,block_std_mu_id,block_mean_mu_ex,block_std_mu_ex,mu_ex_renormal,,mu_ex_id
-1,0.018588,0.000142,5.06469,0.007652,5.00715,0.043459,0.215695706,,4.848994294
-0.75,0.022832,0.000203,5.10909,0.008831,5.12423,0.038353,0.260095706,,
-0.5,0.027993,0.000325,5.15531,0.011572,5.14159,0.037517,0.306315706,,
-0.25,0.03418,0.000188,5.20559,0.005503,5.16391,0.008953,0.356595706,,
0,0.040837,0.000303,5.27764,0.00744,5.27032,0.054529,0.428645706,,
0.25,0.0475,0.000361,5.37649,0.007591,5.30781,0.042382,0.527495706,,
0.5,0.056249,0.000145,5.45742,0.002584,5.40287,0.051776,0.608425706,,
0.75,0.065488,0.000958,5.55544,0.014575,5.54429,0.078569,0.706445706,,
1,0.075108,0.000623,5.6683,0.008326,5.66578,0.043452,0.819305706,,
1.25,0.085685,0.000668,5.78655,0.007756,5.79757,0.033372,0.937555706,,
1.5,0.095437,0.000815,5.92877,0.008533,5.88756,0.077464,1.079775706,,
1.75,0.106913,0.000755,6.0652,0.007054,6.07906,0.053956,1.216205706,,
2,0.118175,0.000831,6.21506,0.00702,6.18826,0.05598,1.366065706,,
2.25,0.129389,0.000547,6.37438,0.004228,6.39493,0.05831,1.525385706,,
2.5,0.140356,0.001171,6.54305,0.008351,6.44011,0.048783,1.694055706,,
2.75,0.151056,0.00125,6.71958,0.00826,6.69253,0.026841,1.870585706,,
3,0.163176,0.000649,6.89238,0.003984,6.8158,0.089182,2.043385706,,
3.25,0.173156,0.000311,7.08301,0.001797,7.15347,0.088873,2.234015706,,
3.5,0.18374,0.001086,7.2737,0.005903,7.32979,0.036928,2.424705706,,
3.75,0.195889,0.001132,7.45967,0.005772,7.48641,0.114356,2.610675706,,
4,0.206543,0.001798,7.65673,0.008669,7.65753,0.071295,2.807735706,,
4.25,0.218361,0.002094,7.8511,0.009643,7.84652,0.052335,3.002105706,,
4.5,0.232585,0.00203,8.03798,0.008742,8.08943,0.054275,3.188985706,,
4.75,0.240071,0.003533,8.25637,0.014837,8.34076,0.074838,3.407375706,,
5,0.25632,0.002807,8.44083,0.011001,8.47152,0.065258,3.591835706,,
5.25,0.272464,0.004861,8.62985,0.017823,8.73157,0.05779,3.780855706,,
5.5,0.282372,0.006348,8.84423,0.022652,8.92208,0.104198,3.995235706,,
5.75,0.296917,0.006245,9.04396,0.021029,9.22181,0.190567,4.194965706,,
6,0.30488,0.008991,9.26772,0.029957,9.3059,0.064289,4.418725706,,
